package	repo	files	license	binary_rpm	source_rpm
coreutils-8.22-24.el7_9.2.x86_64	centos-updates	103	GPLv3+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/coreutils-8.22-24.el7_9.2.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/coreutils-8.22-24.el7_9.2.src.rpm
cpio-2.11-28.el7.x86_64	centos-os	1	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cpio-2.11-28.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cpio-2.11-28.el7.src.rpm
cpp-4.8.5-44.el7.x86_64	centos-os	2	GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cpp-4.8.5-44.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gcc-4.8.5-44.el7.src.rpm
cracklib-2.9.0-11.el7.x86_64	centos-os	4	LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cracklib-2.9.0-11.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cracklib-2.9.0-11.el7.src.rpm
cronie-1.4.11-24.el7_9.x86_64	centos-updates	2	MIT and BSD and ISC and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/cronie-1.4.11-24.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/cronie-1.4.11-24.el7_9.src.rpm
cronie-anacron-1.4.11-24.el7_9.x86_64	centos-updates	1	MIT and BSD and ISC and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/cronie-anacron-1.4.11-24.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/cronie-1.4.11-24.el7_9.src.rpm
cryptsetup-libs-2.0.3-6.el7.x86_64	centos-os	2	GPLv2+ and LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cryptsetup-libs-2.0.3-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cryptsetup-2.0.3-6.el7.src.rpm
cscope-15.8-10.el7.x86_64	centos-os	1	BSD and GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cscope-15.8-10.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cscope-15.8-10.el7.src.rpm
ctags-5.8-13.el7.x86_64	centos-os	1	GPLv2+ and LGPLv2+ and Public Domain	https://vault.centos.org/7.9.2009/os/x86_64/Packages/ctags-5.8-13.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/ctags-5.8-13.el7.src.rpm
cups-client-1.6.3-51.el7.x86_64	centos-os	9	GPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cups-client-1.6.3-51.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cups-1.6.3-51.el7.src.rpm
