#ALL signatures (already manually excluded two that causes false positives, see data/clamav/new_src/README (SMALLER SET - only 50 rules)
Win.Trojan.Cryptowall-16;Engine:53-255,Target:1;0&1&2;2D32A84086405E66400005CC66844143400062000041400062004005004343000040050F41004000626240F2FC11D8C95075AAD36248A930615C40C74641B000;057843BF763DB8762762C9BFB3C38A405B8A9CB2814D6E2FBF96156C623412403417CBA89240FB603BE248118CACADE87862334C00414300400062054005400000CC4143624040406200400F004143400541623DE96C9F33500DC9C34B4034200DCB0D53943295627B42094820E440D0;1E706B2CDB488C000078006240415858251005434005405800006243404140434066620540001563781E41460D17CB94A8736413CBFD63E4109840D945513462
Win.Trojan.Cryptowall-17;Engine:53-255,Target:1;0&1&2;5FBD5B86376B756E0E16E1A36182BD5733B0DC49FD0B2FDEA2CF9019104F50F80B4BB8E29238169916008376FCF4092C3BC415C821A61A026A33AFA1DE7B13EB0AEF7023DF3F69C8DB4AC5F0ACD06BBA;57BB2B48295E4512821700E4FBAE504D3C7119DC6E031FA77DAC9AD0BEC7F03B0AC08817383A6D939A20EA26DF248F7AB727A0FBE198E200608FC33D65119379074894A4023B6F8FBC2B645B90977698;C8AE19091421A4C58A7DEF222333F490A379751C4FE6DD1A47E36F50152828987DA764A14212B51B02C53137163B4DF2C51C876482EF84F0D4F358E6862479E1B9A6B0E17B9CE2869F85946B68DE4009
Win.Trojan.Cryptowall-18;Engine:53-255,Target:1;0&1&2;C745DC00000000C745F0000000008D45F0508D4DDC518B5508528B450C8B481C51E869F1FFFF83C41085C00F849E0100;B825000000668945C0B95300000066894DC2BA45000000668955C4B852000000668945C6B95600000066894DC8BA49000000668955CAB843000000668945CCB94500000066894DCEBA5F000000668955D0B854000000668945D2B94F00000066894DD4BA52000000668955D6B825000000668945D833C966894DDA;B96F00000066894DC2BA6E000000668955C4B869000000668945C6B96F00000066894DC8BA6E000000668955CAB82E000000668945CCB97400000066894DCEBA6F000000
Win.Trojan.Downloader-66467;Engine:51-255,Target:1;(0&1);66696f6e2070696f6e207061636b;7375746f72692077617575
Win.Trojan.ZxShell-14;Engine:51-255,Target:1;0&1;5453436F6E6E656374537461746520213D20575453416374697665207C7C2073657373696F6E57656C636F6D65536372;5F5A585368656C6C2E657865000000
Win.Trojan.ZxShell-16;Engine:51-255,Target:1;0;48656C70000000003F00000045786974000000005175697400000000537973696E666F0050730000557365720000000052756E4173000000476574434D4400005A58536F636B50726F78790053686172655368656C6C000046696C654D47000077696E766E63000072506F72744D61700000000052656D61726B73006C6F676F6E50617373776F7264730000556E496E7374616C6C000000556E496E7374616C
Win.Trojan.Agent-1388634;Engine:73-255,Target:1;(0&1);446570656e646162696c69747900;558BEC81ECB80F000089BD5CFEFFFF89B558FEFFFF899D54FEFFFF33C0898508FBFFFF89850CFBFFFF8B45148B008B950CFBFFFF0FB64402040FBEC0
Win.Trojan.Dyre-5;Engine:73-255,Target:1;0&1;558BEC4033C1418BC8514183F90A0F842C7C0200E867E6FFFF68DBEB450051BA705E40005752EB19B97F000000BF705E400041A11EBE4500E823E80300584040C3;8945FC33C940668B483B03C148B91800000003C14181C1F0000000C3
Win.Trojan.UPATRE-1;Engine:73-255,Target:1;0&1&2&3>50&4>1500;6C6173742031342079656172732E2020492068617665206265656E20776F726B696E67206F6E206F74686572;70726F6A656374732C20616E642049207468696E6B20697420697320756E6C696B656C7920746861742077696C6C;46656520616E792066757274686572206368616E6765732C20657863657074206572726F7220636F7272656374696F6E732E;00000000;20202020
Win.Worm.Mailspam-47;Engine:73-255,Target:1;0&1&2&3;463a5c776f726b6469725c76697375616c6370705c4d61696c50726f6a6563745c6f75746c6f6f6b5f6769745f636c6f6e655c6f75746c6f6f6b2d76325c4d61696c436c69656e745c52656c656173655c4d61696c436c69656e742e706462;7b00300030003000360033003000300031002d0030003000300030002d0030003000300030002d0043003000300030002d003000300030003000300030003000300030003000340036007d00;6840771b006840771b006860ea00006860ea000050ff15{4}68fe070000;558bec83e4f86aff68{4}64a1000000005081ec000e0000
Win.Trojan.Refroso-12661;Engine:51-255,FileSize:501015-597774,NumberOfSections:4-4,Target:1;(0|1|2|3)&(4|5|6|7|8|9|10)&(11|12|13|14);726c796b71776f7770;636c73587878;4d65746843616c6c456e67696e65;4d72556e5045;436c617373{-100}433a5c57494e444f57535c73797374656d33325c4d537662564d36302e646c6c5c33{-100}564252554e;436c617373{-100}433a5c57696e646f77735c73797374656d33325c4d535642564d36302e444c4c5c33{-100}52746c4d6f76654d656d6f7279;466f726d{-100}5c4172636869766f732064652070726f6772616d615c4d6963726f736f66742056697375616c2053747564696f5c564239385c5642362e4f4c42{-100}53706c6974746572;436c617373{-100}5c57494e444f57535c73797374656d33325c6d737662766d3630{-100}646c6c5c33{-100}564252554e;436c617373{-100}5c57696e646f77735c73797374656d33325c4d535642564d3630{-100}444c4c5c33{-100}564252554e;436c617373{-100}5c57494e444f57535c73797374656d33325c6d737662766d3630{-100}646c6c5c33{-100}4b45524e454c3332;436c617373{-100}5c57494e444f57535c53595354454d33325c4d535642564d3630{-100}444c4c5c33{-100}564252554e;456e637279707446696c65;456e637279707442797465;4445435259505446494c45;44454352595054535452494e47
Win.Trojan.Agent-1388641;Engine:55-255,Target:1;0&1&2&3&4;72656d6574656e74653d6d6574655f6f5f666572726f5f406363652e636f6d;64657374696e61746172696f3d646f756c6f7265732e3230313240676d61696c2e636f6d;617373756e746f3d496e666563742d627563657461202d3e;6d656e736167656d3d;687474703a2f2f37322e35352e3134362e35362f7e6d6f6e64756363692f656d61696c2e706870
Win.Trojan.AAEH-18;Engine:51-255,FileSize:52224-188416,Target:1;0&1&2&(3|4|5|6|7|8|9|10|11|12);564241362e444c4c;4d535642564d36302e444c4c;466f726d{-50}466f726d{-50}466f726d;5363656e6f67726f706869636f6c;525852525c585852525a595d59585858585852525852585253585c5a5a5a;433a5c50524f4752417e315c434f505953417e315c435350444630332e6f6361;5b5b594544412c2a2638363178726a;6a6f796c6f73736e6f7373;702e6261{-3}2e657865;7676775a5a59666562736e6c;7778786969694f4f4f474645;43756e747269756374697665;736169786e6e
