# Those have pattern needs but counting is not a fixed word pattern, so that they cannot be conveniently omdeled by PM-Reg 
Win.Exploit.CVE_2015_1681-1;Engine:51-255,Target:7;(0&1&2=0);0:3c3f786d6c2076657273696f6e3d22312e30223f3e203c6d6d635f636f6e736f6c6566696c6520636f6e736f6c6576657273696f6e3d22332e30222070726f6772616d6d6f64653d2275736572736469223e;3c62696e617279{-50}636f6e736f6c655f66696c655f69636f6e5f736d616c6c{9000-}3c2f62696e617279;3c62696e617279{-50}636f6e736f6c655f66696c655f69636f6e5f736d616c6c{-9000}3c2f62696e617279
Win.Trojan.Jiripbot-1;Engine:51-255,Target:1;((0=1)&1);b9??00000066310c46403bc7;437279707450726f7465637444617461
Win.Trojan.Jiripbot-2;Engine:51-255,Target:1;((0=1)&1);803438??403bc3;43727970744861736844617461
Php.Exploit.CVE_2015_2331-2;Engine:51-255,Target:0;0&(1=0|2=0);0:504b0606*504b0607*504b0506;504b0606{24}00000000;504b0606??????????????????????????????????????????????0?
Java.Exploit.CVE_2010_3552-2;Engine:51-255,Target:3;((0&2=0&3=0)|1);3c706172616d{-10}6e616d653d226c61756e63686a6e6c7022{-50}3c706172616d{-10}6e616d653d22646f636261736522{-50}76616c75653d22{70-}2f3e{-25}3c2f68746d6c3e;3c706172616d{-10}6e616d653d226c61756e63686a6e6c7022{-50}3c706172616d{-10}6e616d653d22646f636261736522{-50}76616c75653d22{-20}73626f66{-20}222f3e;3c706172616d{-10}6e616d653d226c61756e63686a6e6c7022{-50}3c706172616d{-10}6e616d653d22646f636261736522{-50}76616c75653d22{-70}2f3e;3c706172616d{-10}6e616d653d226c61756e63686a6e6c7022{-50}3c706172616d{-10}6e616d653d22646f636261736522{-50}76616c75653d22{-70}3c2f6f626a656374
Html.Exploit.CVE_2015_6159-1;Engine:51-255,Target:3;0&1&2=2;6867726f75703a66697273742d6c696e65;646f63756d656e742e637265617465656c656d656e74{-3}6867726f7570;2e736574617474726962757465{-3}636c617373
Win.Trojan.VBDos-1;Engine:51-255,Target:1;0>3&1>3;5300740061007400750073003a0020005b00{6-24}20002d002000410074007400610063006b00200045006e00610062006c006500640020005d00;5300740061007400750073003a0020005b00{6-24}20002d00200041006c0072006500610064007900200045006e00610062006c00650064005d00
Win.Trojan.BlackEnergy2-1;Engine:51-255,Target:1;0&1&2=2&3&4&5&6&7&8;C745??75736572;C745??33322E64;C745??6C6C;C745??77696E69;C745??6E65742E;C745??646C6C00;C745??7773325F;C745??33322E64;682680ACC8
Win.Trojan.Agent-1388736;Engine:51-255,Target:1;0>3|1|2;68??000000FF15????????66??018075??6A??E8????????83C404;6A2AC6{6}D6C6{6}E1C6{6}BFC6{6}C8C6{6}C3C6{6}BD88{6}FF15{4}663D018075??8D????????????8D????????????5?6A075?E8????????50E8{4}83C410;6A2AC7{5}D6E1BFC866{6}C3BD88{5}FF15{4}BA0180FFFF663BC275??8D??????????5?8D??????????6A075?E8????????50E8????????83C410
Js.Trojan.Diplugem-1;Engine:51-255,Target:7;0>20&1&2;273a66756e6374696f6e28??2c??297b72657475726e20{1-4}3b7d2c27;766172207a7963726970743d7b786c61743a;7d2c73796e6365723d7b75726c3a7a796372697074
Js.Trojan.Nemucod-18995;Target:7;(0>2)&(1>3)&(2>10);766172{-10}686974666d;66756e6374696f6e{-20}686974666d;78636f70
Unix.Trojan.Mirai-5607474-2;Engine:51-255,Target:6;((0>2)&1&2&(3>1)&(4>1));2f70726f63{-10}2f6e6574;69707461626c6573;74656c6e657464;5b6d6f64756c65735d;5b70656572735d
Unix.Trojan.Mirai-5607489-0;Engine:51-255,Target:6;((0>2)&1&(2>10));466c6f6f64696e67{-10}666f72{-10}7365636f6e6473;70726f63{-10}6e6574;4743433a
Txt.Downloader.Generic-5657803-0;Engine:51-255,Target:7;0&1&(2>7000);72657665727365{-10}6a6f696e;7370{-5}6c6974{-10}6060;6060{1}6060
Txt.Downloader.Generic-5657810-1;Engine:51-255,Target:7;(0>25)&(1=0);766172{-5}5f31313263726170{-5}3d20;3d20{-5}5f31313263726170
Win.Packer.VBCrypt-5731517-0;Engine:70-255,Target:1;0&1>3&2;564235;c745{2}0000006a006a026a016a008d45??506a106880080000e8;506a016a11ff75??6a0168{4}e8
Win.Packer.VBCrypt-5731561-0;Engine:51-255,Target:1;0&1&(2>2);564235;c745??040000006a006a146a016a008d55??526a106880080000;c745{5}c745{5}8d55??8b45??b9020000002b4814c1e1048b45??8b400c03c8
Doc.Dropper.Donoff-5743531-0;Engine:81-255,Target:2;(0>5)&(1>5)&2&3;46756e6374696f6e20{2-12}28290d0a{2-12}203d20456d7074790d0a{2-12}203d20{2-12}0d0a456e642046756e6374696f6e;0d0a{2-12}203d2022{3}220d0a;203d204372656174654f626a65637428;53756220446f63756d656e745f4f70656e2829
Doc.Dropper.Donoff-5743533-0;Engine:81-255,Target:2;(0>10)&(1>10);203d2041727261792822{2-10}222c2022{2-4}29283129;46756e6374696f6e20{2-20}28290d0a{2-20}203d20{2-40}0d0a456e642046756e6374696f6e
Doc.Dropper.Downloader-5744654-0;Engine:81-255,Target:2;0&(1>5)&(2>20);53756220446f63756d656e745f4f70656e2829;44696d20{2-10}20417320537472696e67;202020{3-10}203d20{3-10}202b2022{50}220d0a
Win.Trojan.Cybergate-5744895-0;Engine:51-255,Target:1;0&1&2&3&4&(5>3);4176656e676572;44656661756c7443726564656e7469616c73;50617373776f726473;557365723a;50617373776f72643a;7369676e6f6e73{-5}2e747874
Win.Worm.Agent-5819819-0;Engine:51-255,Target:1;0>4&1;245c{-10}2e657865;43245c4e6577417265616e2e657865
Win.Virus.Virut-5898123-1;Engine:51-255,NumberOfSections:3-3,Target:1;0&1&(2=1)&(3=1);81e9001000002d0010000085013d00100000;f7d803c483c0048500948b0050c3;0:4d5a{-800}200000e0;0:4d5a{-800}400000e0
Win.Virus.Virut-5914241-0;Engine:51-255,NumberOfSections:3-3,Target:1;(0=1)&(1=1)&(2=1);33c150{-15}33c1463b75;0:4d5a{-800}200000e0;0:4d5a{-800}400000e0
Win.Ransomware.Cerber-5970044-0;Engine:51-255,Target:1;0&(1>2);8b45??8bd28bd28bd28bd28bd233c28bd2c745??010000008bd28bd28bd28bd28bd2;0fb655??83c2??a1{4}0345??8850
Win.Ransomware.Cerber-5970045-0;Engine:51-255,Target:1;0&(1>2);8945??8b0d{4}8b118955??8b45??2db71100008945??8b55??81c2b71100008b45??8bd233c28bd28945;0fb655??83c2??8b45??8b0d{4}66895441
Win.Ransomware.Cerber-5970076-0;Engine:71-255,Target:1;0&(1>10);a1{4}8945??8b0d{4}894d??c745{5}8b55??81c2{4}8955??c745{5}8b45??05e0{3}8945??8b0d{4}894d??8b45??3145;ff15{4}8b
Win.Ransomware.Cerber-5970079-0;Engine:71-255,Target:1;0&(1>10);894d??8b55??3155??8b55??{-30}5dc3;ff15{4}8b
Win.Ransomware.Cerber-5970098-0;Engine:51-255,Target:1;0&(1>5);8b55??81c2{4}8b45??33c28945;b8??0000008b4d??8b15{4}6689444a
Win.Ransomware.Cerber-5970127-0;Engine:71-255,Target:1;(0>5)&(1>5)&(2>5);8a15{4}a1{4}80f2;8a0d{4}8b15{4}80f1;a0{4}8b0d{4}34
Win.Ransomware.Cerber-5970164-0;Engine:51-255,Target:1;(0>5)&1;0fb645??83c0??8b4d??8b15{4}668944;8bd233c28bd2
Win.Ransomware.Cerber-5970165-0;Engine:51-255,Target:1;(0>50)&1;c745??97a00000;8b55??8955??8b45??8945??8b4d??894d??8b55??8955??8b45??8945??8b4d??894d??8b55??8b023345??8b4d??8901
Win.Exploit.CVE_2017_0062-6012405-0;Engine:51-255,Target:0;0&1=0;0:01000000{36}20454d46{14}0000????????00000000;0:01000000{36}20454d46{14}00000000000000000000
Doc.Macro.AliasFunc-6203108-0;Engine:51-255,Target:2;0&1=2&2=2&3=2&4=2&5=4;0:4174747269627574652056425f4e616d65203d2022;46756e6374696f6e20{1-10}204c696220227368656c6c33322e646c6c2220416c69617320225368656c6c457865637574654122;46756e6374696f6e20{1-10}204c696220226b65726e656c33322220416c696173202247657454656d70506174684122;46756e6374696f6e20{1-10}204c696220226b65726e656c33322220416c696173202247657454656d7046696c654e616d654122;46756e6374696f6e20{1-10}204c6962202275726c6d6f6e2220416c696173202255524c446f776e6c6f6164546f46696c654122;50747253616665
Win.Trojan.AutoIt-6260345-0;Engine:51-255,Target:0;0&1>50&2>70&3>3&4;3434366336633433363136633663323832323735373336353732333333323265363436633663323232633230323236653666366536353232326332303232343336313663366335373639366536343666373735303732366636333232;0a24{4}203d2022{4}22200a;0a24{24}203d2022{24}22200a;0a4c4f43414c20245f{35}203d204558454355544520282042494e415259544f535452494e47202820223078;0:23234e6f5472617949636f6e200a
Doc.Macro.MaliciousHeuristic-6290327-0;Engine:51-255,Target:2;0&1>3&2>3;0:4174747269627574652056425f4e616d65203d2022;203d205642452e564250726f6a656374732849292e;203d2049496628496e53747228312c20??2c20222e2229203e20302c204c656e28??29202d20496e53747228312c20??2c20222e2229202b20312c203029{-4}203d204d696428??2c20??202b20312c204c656e28??29202d20??202d20??29
Js.Downloader.Generic-6300448-1;Engine:51-255,Target:7;(0=2)&(1=1)&(2=1)&(3=1);6576616c{-50}2c20227a2229293b;63686172636f64656174;66726f6d63686172636f6465;2e73706c6974{-100}2e6a6f696e282222293b
Win.Ransomware.Jaff-6316620-4;Engine:51-255,Target:1;0>3;52518b4c24??81c1ff00000041418b5424??29d1894c24??595ac20400
Win.Ransomware.Nyetya-6331388-0;Engine:51-255,Target:1;0&(1=4)&(2=1)&3;4973576f77363450726f63657373;4e616d656450697065;00000000000000000400000000000100{8}00000000000000000400000000000400;33c0395d??6a0a0f95c04050ff35{4}ff15{4}3bc3
Win.Ransomware.Nyetya-6331649-2;Engine:51-255,Target:1;0&1&2&(3=1);8b068134388686868683c7043bfa;8b068d4408ff8030868b45??8b0e05700d00008981910500008a45??3c02;8b8f{4}8b1681f164646464890c1783c7043bf8;00000000000000000400000000000100{8}00000000000000000400000000000400
Doc.Downloader.Generic-6332126-2;Engine:81-255,Target:2;0&(1|2|3|4)&5>50&((6|7)>100);0:d0cf11e0a1b11ae1;2e6a73;2e4a53;2e6a53;2e4a73;7b7d656c73657b7d;2b3d27;2b27{-64}273b
Win.Trojan.LockPoS-6333975-0;Engine:51-255,Target:1;0&((1>2)|(2>2))&(3>5);43004f0052004500;8b4d??3b4d??73??8b55??0355??8b45??0345??8a08880aeb{-25}8b45??83c0018945;8b45??83c0018945{-25}8b4d??3b4d??73??8b55??0355??8b45??0345??8a08880aeb;83c4108945??6a0068{4}8b55??528d85{4}50e8
Win.Malware.Emotet-6335634-0;Engine:51-255,Target:1;(0=2)&1&2;813d{4}00010000;b8010000000f23c0;0fb6c08b4d??034d??0fbe1133d08b45??0345??88108b4d??83e901894d??eb
Win.Malware.Emotet-6335635-0;Engine:51-255,Target:1;(0>100)&(1>100)&(2>100)&(3>250);6a0068d02700005150;6a006a795250;6a00687263310f5250;c645{2}c645
Win.Ransomware.Locky-6336174-0;Engine:51-255,Target:1;0>150&1>150;B80F0000005068????????68????????e8????????85c00f85;B8100000005068????????68????????e8????????85c00f85
Html.Exploit.CVE_2017_8738-6336184-4;Engine:51-255,Target:3;0&(1=0);617272617962756666657228{-188}75696E743332617272617928{-190}6D6174682E666C6F6F72{-187}666C6F61743634617272617928;617272617962756666657228{-188}75696E743332617272617928{-190}6D6174682E666C6F6F72{-187}666C6F61743332617272617928
Win.Malware.Ursnif-6336328-0;Engine:51-255,Target:1;(0=1)&(1>20)&(2>20)&3;33c9f7f1;516a285053ff15;83ec0cd905{4}d95c24??d905{4}d95424??d91c;575453456e756d657261746550726f63657373657341
Win.Dropper.CCBkdr-6336420-0;Engine:51-255,Target:1;0>1&1>1;8b45??83c4??0500010000506a40ff??8bf885ff7509;8d460868{3}00508d45??5057e8{4}83c41085c07404
Win.Downloader.Trickbot-6344490-1;Engine:51-255,Target:2;0&(1>3)&(2>1)&(3>75);0:4174747269627574652056425f4e616d65203d20;3d20{-25}67656e6572617465;2e706e67;202b20
Win.Ransomware.Samsam-6482587-0;Engine:51-255,Target:1;0&(1>5)&2;2e007300740075006200620069006e;0000413?006?003?006?00;6d73636f7265652e646c6c
Win.Ransomware.SynAck-6539639-0;Engine:71-255,Target:1;(0>75)&1&2&3&4&5&6&7&8;488b05{-15}482d{-15}ffd0;488b1d{-15}4881eb{-15}ffd3;488b0d{-15}4881e9{-15}ffd1;488b15{-15}4881c2{-15}ffd2;488b3d{-15}4881c7{-15}ffd7;488b35{-15}4881c6{-15}ffd6;488b2d{-15}4881c5{-50}ffd5;4c8b0d{-15}4981e9{-15}41ffd1;4c8b35{-15}4981ee{-50}41ffd6
Js.Downloader.Nemucod-6566709-0;Target:7;(0>800)&(1>500);66756e6374696f6e{-10}28297b{-40}3d7b763a36347d3b{-35}3d7b713a38357d3b{-1}72657475726e;285b66616c73652c302c305d2c747275652c617267756d656e747329293b7d292822
Doc.Downloader.Valyria-6595163-0;Engine:81-255,Target:2;((0>100)&(1>50))|(2>25);203d2056616c2822{-10}222920262022;203d20{-30}202b204949662828{-10}202b20{-10}29203d20{-10}2c2022??222c2022{-10}2229;203d20434c6e6728{-10}202a2043536e6728{-10}202b204368724228{-10}202b2043496e7428{-10}29292929
Win.Packed.Gandcrab-6700519-1;Engine:51-255,Target:7;0&(1>4)&2&(3|4|5|6|7|8|9)>2;5c53797374656d2e646c6c;2e747874;536f6674776172655c4d6963726f736f66745c57696e646f77735c43757272656e7456657273696f6e5c556e696e7374616c6c5c;2e636162;5f6269676765722e6a7067;247b4741494d5f58464952455f{-6}5f4b45597d;247b56494b494e475f554e494e5354414c4c5f4b45597d;506c617957697468564c43;564c43506c61794456444d6f7669654f6e4172726976616c;636f6d70696c6575
Win.Packed.Gandcrab-6841506-0;Engine:71-255,NumberOfSections:5-7,Target:1;(0>10)&(1=2)&2;6a00ff15;558becb8{4}5dc3;8b4d??c1e104034d??8b55??0355??33ca8b45??c1e8050345??33c88b55??2bd18955??6a006a00ff15{4}8b45??c1e0040345??8b4d??034d??33c18b55??c1ea050355??33c28b4d??2bc8894d??8b55??83c2098b45??2bc28945??e9
