00	insurance number
01	personalidno#
02	social security number
03	personal id number
04	personal identification no.
05	insuranceno#
06	uniqueidno#
07	unique identification no.
08	avs number
09	personal identity no versicherun
10	identifikationsnummer
11	sozialversicherungsnummer
12	identification personnelle id
